,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Acton,34.497355239240854,-118.1698101922935,Epik Engineering,34.498718,-118.16804599999999,Construction & Landscaping
1,Acton,34.497355239240854,-118.1698101922935,Alma Gardening Co.,34.494761600638604,-118.17255020141602,Construction & Landscaping
2,Adams-Normandie,34.03146149912416,-118.30020800000014,Orange Door Sushi,34.032485,-118.29936799999999,Sushi Restaurant
3,Adams-Normandie,34.03146149912416,-118.30020800000014,Shell,34.03309525,-118.30002476,Gas Station
4,Adams-Normandie,34.03146149912416,-118.30020800000014,Sushi Delight,34.032445,-118.299525,Sushi Restaurant
5,Adams-Normandie,34.03146149912416,-118.30020800000014,Little Xian,34.032292483333336,-118.299465,Sushi Restaurant
6,Adams-Normandie,34.03146149912416,-118.30020800000014,Tacos La Estrella,34.03223033722343,-118.30075657173896,Taco Place
7,Adams-Normandie,34.03146149912416,-118.30020800000014,Loren Miller Recreational Park,34.03133527935113,-118.30371659932757,Playground
8,Adams-Normandie,34.03146149912416,-118.30020800000014,Adlong market,34.03224171666667,-118.29622883333333,Grocery Store
9,Adams-Normandie,34.03146149912416,-118.30020800000014,Richardson Family Park,34.02822053963444,-118.29745689406869,Park
10,Agoura Hills,34.146736499122795,-118.75988450000015,El Pollo Loco,34.144732,-118.761088,Fast Food Restaurant
11,Agoura Hills,34.146736499122795,-118.75988450000015,Trader Joe's,34.14624052496783,-118.75660865115307,Grocery Store
12,Agoura Hills,34.146736499122795,-118.75988450000015,Lal Mirch,34.14782182958774,-118.76053609056241,Indian Restaurant
13,Agoura Hills,34.146736499122795,-118.75988450000015,Jinky's Kanan Cafe,34.14627993869809,-118.75683265215228,Breakfast Spot
14,Agoura Hills,34.146736499122795,-118.75988450000015,Sushi Raku,34.14823001578954,-118.76016340093447,Sushi Restaurant
15,Agoura Hills,34.146736499122795,-118.75988450000015,Urbane Cafe,34.146572678206034,-118.75895599029913,Café
16,Agoura Hills,34.146736499122795,-118.75988450000015,Wildflour,34.146594553820755,-118.75820503604223,Bakery
17,Agoura Hills,34.146736499122795,-118.75988450000015,Boar Dough Tasting Room,34.14423676959213,-118.75656397955426,Restaurant
18,Agoura Hills,34.146736499122795,-118.75988450000015,Ladyface Alehouse & Brasserie,34.14383424641146,-118.76282336043366,Brewery
19,Agoura Hills,34.146736499122795,-118.75988450000015,Islands Restaurant,34.143774,-118.762049,American Restaurant
20,Agoura Hills,34.146736499122795,-118.75988450000015,Wood Ranch BBQ & Grill,34.14471078601356,-118.75535035346938,BBQ Joint
21,Agoura Hills,34.146736499122795,-118.75988450000015,The Habit Burger Grill,34.146674,-118.759053,Burger Joint
22,Agoura Hills,34.146736499122795,-118.75988450000015,Agoura Liquor & Deli,34.1445486,-118.7628748,Deli / Bodega
23,Agoura Hills,34.146736499122795,-118.75988450000015,Regency Agoura Hills 8,34.14429597744231,-118.75725556265753,Multiplex
24,Agoura Hills,34.146736499122795,-118.75988450000015,Exotic Thai,34.14416398333001,-118.75699062111927,Thai Restaurant
25,Agoura Hills,34.146736499122795,-118.75988450000015,Mandarin Lotus,34.14484755681964,-118.76282190952695,Chinese Restaurant
26,Agoura Hills,34.146736499122795,-118.75988450000015,IHOP,34.14505711356827,-118.76232551052394,Breakfast Spot
27,Agoura Hills,34.146736499122795,-118.75988450000015,Burger King,34.145041179773195,-118.76005855948279,Fast Food Restaurant
28,Agoura Hills,34.146736499122795,-118.75988450000015,Shell,34.14718458592588,-118.76066720338483,Gas Station
29,Agoura Hills,34.146736499122795,-118.75988450000015,Padris Martini Bar,34.14319785974429,-118.75682678970502,Lounge
30,Agoura Hills,34.146736499122795,-118.75988450000015,Homewood Suites by Hilton,34.14625424404817,-118.75561147928238,Hotel
31,Agoura Hills,34.146736499122795,-118.75988450000015,Adobe Cantina,34.14301,-118.75833,Mexican Restaurant
32,Agoura Hills,34.146736499122795,-118.75988450000015,FedEx Office Print & Ship Center,34.1446696,-118.7559056,Shipping Store
33,Agoura Hills,34.146736499122795,-118.75988450000015,Panda Express,34.14646865401041,-118.75863861435404,Chinese Restaurant
34,Agoura Hills,34.146736499122795,-118.75988450000015,Jack in the Box,34.14416981091266,-118.76196697354317,Fast Food Restaurant
35,Agoura Hills,34.146736499122795,-118.75988450000015,McDonald's,34.147187671607306,-118.76018062233925,Fast Food Restaurant
36,Agoura Hills,34.146736499122795,-118.75988450000015,PCH Scuba,34.14848669420914,-118.76007352177238,Sporting Goods Shop
37,Agua Dulce,34.50492699979684,-118.31710366907171,Agua Dulce Airport,34.50344467730316,-118.31742524378971,Airport
38,Alhambra,34.08553899912357,-118.13651200000021,Manny's Tacos,34.087148000347845,-118.13527450951781,Mexican Restaurant
39,Alhambra,34.08553899912357,-118.13651200000021,Domino's Pizza,34.08394546606753,-118.13497915863991,Pizza Place
40,Alhambra,34.08553899912357,-118.13651200000021,Redbox,34.087166030419525,-118.13488911658315,Video Store
41,Alhambra,34.08553899912357,-118.13651200000021,Wendy's,34.08770459648967,-118.13500962689886,Fast Food Restaurant
42,Alhambra,34.08553899912357,-118.13651200000021,7-Eleven,34.0870087931895,-118.134876564145,Convenience Store
43,Alhambra,34.08553899912357,-118.13651200000021,The Home Depot,34.0852756,-118.1411204,Hardware Store
44,Alhambra,34.08553899912357,-118.13651200000021,Bilt Tuff,34.084891999999996,-118.134899,Sporting Goods Shop
45,Alhambra,34.08553899912357,-118.13651200000021,Kyaw Myanmar $ Store,34.084871,-118.134956,Convenience Store
46,Alhambra,34.08553899912357,-118.13651200000021,Pronto Donuts,34.083881,-118.134879,Bagel Shop
47,Alhambra,34.08553899912357,-118.13651200000021,Alhambra Donuts,34.08387696246431,-118.1348605454087,Breakfast Spot
48,Alhambra,34.08553899912357,-118.13651200000021,Water,34.083823,-118.134849,Convenience Store
49,Alhambra,34.08553899912357,-118.13651200000021,Moochi Dog Salon & Supply,34.08378571740732,-118.1347842195123,Pet Store
50,Alhambra,34.08553899912357,-118.13651200000021,ExtraMile,34.08722336354964,-118.13403636217117,Convenience Store
51,Alondra Park,33.889617004889644,-118.3351559860816,Ho'olaulea Alondra Park,33.88573302888851,-118.33551346543001,Park
52,Alondra Park,33.889617004889644,-118.3351559860816,Tri-Park Little League,33.890765,-118.337206,Baseball Field
53,Alondra Park,33.889617004889644,-118.3351559860816,Matt Kinsela Fitness,33.891271,-118.332201,Gym / Fitness Center
54,Artesia,33.866895999126264,-118.08010100000016,Paradise Biryani Pointe,33.86596481590643,-118.08148899437464,Indian Restaurant
55,Artesia,33.866895999126264,-118.08010100000016,Yogurtland,33.86591,-118.081955,Frozen Yogurt Shop
56,Artesia,33.866895999126264,-118.08010100000016,The India Restaurant,33.86871211397459,-118.08197171579405,Indian Restaurant
57,Artesia,33.866895999126264,-118.08010100000016,Ziba Beauty (Little India),33.868591278117876,-118.08183786002336,Salon / Barbershop
58,Artesia,33.866895999126264,-118.08010100000016,Boiling Point,33.867622062843914,-118.08259367602855,Taiwanese Restaurant
59,Artesia,33.866895999126264,-118.08010100000016,Surati Farsan,33.862841841375,-118.08179594077913,Indian Restaurant
60,Artesia,33.866895999126264,-118.08010100000016,Lee's Sandwiches,33.86756547201534,-118.08269374031288,Sandwich Place
61,Artesia,33.866895999126264,-118.08010100000016,Aga Taiwanese Bistro,33.86794552559874,-118.08304604838,Asian Restaurant
62,Artesia,33.866895999126264,-118.08010100000016,L.A. Brisket,33.86608711855182,-118.08355970771282,BBQ Joint
63,Artesia,33.866895999126264,-118.08010100000016,Rajdhani Indian Restaurant,33.86328991519408,-118.08243622090853,Indian Restaurant
64,Artesia,33.866895999126264,-118.08010100000016,Mumbai Ki Galliyon Se,33.87020427699342,-118.08256782505542,Indian Restaurant
65,Artesia,33.866895999126264,-118.08010100000016,Great Seafood Harbor,33.865016,-118.082561,Chinese Restaurant
66,Artesia,33.866895999126264,-118.08010100000016,Pioneer Center,33.86473128502114,-118.08325337970031,Shopping Mall
67,Artesia,33.866895999126264,-118.08010100000016,Standard Sweets & Snacks,33.862784596463186,-118.08202284473573,Vegetarian / Vegan Restaurant
68,Artesia,33.866895999126264,-118.08010100000016,99 Ranch Market,33.86956381687381,-118.08288525690755,Grocery Store
69,Artesia,33.866895999126264,-118.08010100000016,KK's Lollicup,33.86831071292749,-118.0831299664335,Bubble Tea Shop
70,Artesia,33.866895999126264,-118.08010100000016,Bangkok Blvd,33.865906400092946,-118.08125452368313,Thai Restaurant
71,Artesia,33.866895999126264,-118.08010100000016,Daiso Japan,33.86920858293091,-118.08313135577738,Gift Shop
72,Artesia,33.866895999126264,-118.08010100000016,Yummy Boba,33.86498497014843,-118.0832896521448,Chinese Restaurant
73,Artesia,33.866895999126264,-118.08010100000016,Pizza Hut,33.86519298570934,-118.08242529630661,Pizza Place
74,Artesia,33.866895999126264,-118.08010100000016,It's Boba Time Cafe Artesia,33.86788997666976,-118.08308641949486,Bubble Tea Shop
75,Artesia,33.866895999126264,-118.08010100000016,Pho 2000,33.86868524214578,-118.08310519705749,Vietnamese Restaurant
76,Artesia,33.866895999126264,-118.08010100000016,Shanghai Style Restaurant,33.86523278684575,-118.08298748330138,Chinese Restaurant
77,Artesia,33.866895999126264,-118.08010100000016,Ambala Sweets and Spices,33.86392781279993,-118.08258247216385,Indian Restaurant
78,Artesia,33.866895999126264,-118.08010100000016,Pho Pioneer,33.870176106737226,-118.08280558238087,Vietnamese Restaurant
